genes,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0239044,728.35321,688.293335,781.816772,509.026642,497.04953,528.699524,644.623169,604.287048,639.555969,424.288544,349.785797,361.280853
FBgn0239045,423.511688,412.207886,427.848114,267.263,266.186859,278.680389,444.733063,402.446838,438.855743,295.974762,269.93399,266.634552
FBgn0239046,53.253883,53.449718,48.234016,40.576759,45.503235,44.654251,49.155357,50.829014,47.572853,42.263332,43.737789,43.155533
FBgn0239047,55.368431,66.287384,62.971752,67.641594,77.395592,85.855614,61.044422,65.322998,71.735191,53.28923,79.352417,89.999222
FBgn0239049,230.454056,298.822144,273.27002,267.044525,320.084015,325.252319,233.779327,259.417389,302.377838,179.278549,232.657379,242.087601
FBgn0239050,0.290932,0.043872,0.249673,0.23201,0.398872,0.358349,0.082683,0,0.151612,0.449116,0.119849,0.269311
FBgn0239051,0.122137,0,0,0,0,0,0,0,0,0,0,0
FBgn0239053,41.458691,42.231445,42.849236,33.668636,30.341856,37.591858,40.148781,42.41634,38.573139,38.733742,33.174198,34.230289
FBgn0239054,6.725303,5.72344,5.278005,2.437956,2.346363,1.830618,2.927896,2.554823,2.939444,2.095706,1.503285,1.738098
FBgn0239055,0,0,0,0,0,0,0.388641,0,0,0,0,0
FBgn0239056,0,0,0.094671,0,0,0.072005,0.070739,0,0,0,0.080784,0
FBgn0239057,0.140648,0,0,0,0,0.020368,0,0,0,0,0,0
FBgn0239058,0.133915,0.132756,0,0,0,0,0,0.273475,0,0,0,0
FBgn0239060,119.125664,188.043091,183.264465,191.308853,217.222336,223.046829,151.107681,179.822021,201.203003,129.25795,209.142029,205.143051
FBgn0239062,0,0,0,0.279633,0,0,0,0,0,0,0,0
FBgn0239063,6.876027,7.155634,7.407194,6.540288,7.841703,7.384294,5.393143,5.520356,6.276807,5.900272,6.980287,7.014013
FBgn0239064,0.462703,0.692458,0.595199,1.234353,0.891665,1.126841,0.568564,0.447472,0.558386,1.256573,0.784035,1.041113
FBgn0239065,99.003662,82.891151,87.23864,98.333084,79.39473,93.206337,101.79805,95.520035,96.230408,127.102516,90.147552,90.45472
FBgn0239066,5.723366,7.240138,6.644093,1.15439,1.717173,0.568453,4.49473,5.599677,5.158194,0.74803,0.282427,0.276216
FBgn0239067,0.068189,0.110147,0,0,0,0.034501,0,0,0.295572,0,0,0
FBgn0239068,0,0.593142,0,0.023161,0,0.054192,0.16527,0.097895,0.028348,0,0.222746,0.305069
FBgn0239071,35.259502,40.439941,36.250465,31.773071,37.568043,34.901596,34.815376,37.653625,37.016033,27.279799,32.345161,37.671402
FBgn0239072,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0239073,2.059458,1.936502,3.413887,0.429627,8.069199,1.539036,1.230045,4.115992,1.836471,0.654036,1.813745,1.253848
FBgn0239074,23.10787,21.438871,21.512489,29.572454,29.79517,30.123278,21.805159,22.455584,21.980101,27.508083,28.783121,25.328663
FBgn0239075,550.378418,516.759094,541.704834,521.072571,488.331909,491.737762,561.819336,558.693115,540.6203,586.41272,533.533997,512.373047
FBgn0239076,5.552224,4.640474,5.550842,4.679267,4.786528,4.13238,6.874809,5.923487,5.190898,4.476396,3.79114,4.420183
FBgn0239077,22.928535,20.77021,22.37598,18.872252,15.94881,19.862978,23.915548,21.208176,21.234547,22.397928,19.518694,21.879269
FBgn0239078,4.56688,4.353989,5.189075,2.112336,3.364832,2.79833,6.110254,5.623207,6.076942,1.645332,0,4.13766
FBgn0239079,36.504936,32.591019,35.272697,31.131479,30.260778,27.138258,37.896271,31.795273,31.285021,31.25267,27.374895,29.991755
FBgn0239081,13.540586,13.843179,11.418524,13.082273,12.618743,12.147651,13.208824,12.556895,14.13537,11.080493,13.425157,16.985867
FBgn0239082,23.375795,24.574007,23.543793,20.237295,19.278131,17.982841,20.672945,21.041195,24.289076,17.307537,19.735531,19.545807
FBgn0239083,75.155457,69.682831,73.221649,49.648994,49.424854,48.939102,75.666893,73.297012,76.863861,60.355408,51.161457,46.795208
FBgn0239084,48.959763,42.974297,46.890984,46.0312,38.910999,44.197838,48.880039,41.979706,45.310661,45.533813,45.408966,38.713345
FBgn0239085,71.260223,57.661156,61.420944,59.424858,58.214413,64.957825,54.369328,55.394043,57.175816,61.332184,59.685562,58.49065
FBgn0239086,0.092435,0.081772,0.06223,0.058738,0.069288,0.207445,0,0,0.149957,0,0.088189,0.174363
FBgn0239087,0,0,0.183951,0.152893,0.0036,0.330741,0.058036,0.000978,0,0.195216,0.157602,0.296294
FBgn0239088,0,0.742931,0.09369,0.263892,0.352176,0.221254,0.318163,0,0.259253,0.168755,0.159893,0.12891
FBgn0239090,1.039506,2.041943,1.212924,0.642334,1.07187,0.76623,1.925108,1.315859,1.84714,0.649555,0.898618,0.945991
FBgn0239091,19.883316,19.287283,24.012568,19.592693,18.409733,17.499655,19.119307,21.259727,22.86167,18.236992,14.948646,16.185774
FBgn0239092,115.126747,118.854881,116.035774,102.15007,111.845795,112.985924,113.649872,114.753929,116.264488,110.954445,116.217789,115.299995
FBgn0239093,16.820911,19.14809,17.971682,18.449986,17.561975,16.597858,17.575689,18.540998,16.532032,19.297606,19.749348,18.955359
FBgn0239094,0,0.325187,0.478135,0,0.145054,0.030109,0.14381,0,0.484204,0,0,0
FBgn0239095,88.546135,89.01902,84.594612,84.72171,104.121597,103.580917,86.411476,94.436646,91.95488,71.998108,89.819473,93.180023
FBgn0239096,0,0,0,0,0,0,0,0.000221,0.127776,0,0,0
FBgn0239097,0.100854,0,0,0.148849,0,0.134775,0.249404,0.200701,0.052091,0.177986,0.128005,0.070791
FBgn0239098,0.074039,0.25823,0,0.148848,0.216996,0.171737,0,0.170272,0,0,0,0.090323
FBgn0239099,0,0,0,0.835633,0,0.478623,0,0,0,0,0.055298,0.178597
FBgn0239100,0.228505,0,0.126636,0.271359,0.170732,0.313354,0.076965,0.123427,0.108012,0.114555,0,0.165316
FBgn0239101,1.262137,1.34999,1.405034,0.686203,0.466946,0.823584,2.556114,2.258808,1.509192,0.3502,0.383842,0.851815
FBgn0239102,0.352954,0.565067,0.376736,0.6172,0.149519,0.289149,0.617012,0.242546,0.234324,0.266009,0.518051,0.366476
FBgn0239103,0.35059,0.133397,0.057134,0.464378,0.355653,0.316522,0.485281,0.291515,0.274272,0.151798,0.141577,0.352775
FBgn0239104,0,0.16093,0,0.253528,0,0.122202,0.109767,0.147707,0.066942,0.072255,0.084443,0
